wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte gesamt,"ohne Sperrvermerk ""W""","mit Sperrvermerk ""W""",nach �3 Abs. 4 des Gesetzes,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,Schmidt, Dirk Alexander,CDU,Y�ksel, Serdar,SPD,Calikoglu, Mustafa,GR�NE,Vogelsang, Daniela,FDP,Cremer, Claus,NPD,Isert, Andreas,DIE LINKE,,REP,D8,�DP,Dvorak, Matthias,B�So,,PBC,D11,Tierschutzpartei,D12,FAMILIE,D13,Die PARTEI,D14,ZENTRUM,D15,BGD,D16,AUF,Brand, Simone,PIRATEN,D18,ddp,D19,Freie Union,D20,RENTNER,D21,pro NRW,D22,Die VIOLETTEN,D23,BIG,D24,Volksabstimmung,D25,FBI,D26,F26,D27,F27
09.05.2010,Landtagswahl NRW,109,5911000,1201,1084,779,305,0,522,3,3,3,519,519,163,128,199,162,82,125,23,41,10,7,25,35,,0,,0,1,1,,0,,4,,0,,1,,0,,0,,0,15,11,,0,,0,,1,,3,,0,,0,,0,,0,0,0,1,0
09.05.2010,Landtagswahl NRW,109,5911000,1202,1013,844,169,0,419,3,5,5,414,414,73,66,179,146,81,100,15,14,10,7,38,48,,0,,1,3,1,,0,,4,,1,,2,,0,,0,,0,15,17,,0,,0,,0,,4,,0,,1,,0,,2,0,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1203,1077,874,203,0,338,2,5,5,333,333,65,57,136,118,53,67,10,12,4,2,44,51,,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,21,24,,0,,0,,0,,1,,1,,0,,0,,0,0,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1204,831,666,165,0,286,0,2,1,284,285,65,66,129,109,32,41,10,4,5,4,33,39,,0,,0,0,0,,0,,1,,1,,1,,0,,0,,0,8,13,,0,,0,,2,,4,,0,,0,,0,,0,0,0,2,0
09.05.2010,Landtagswahl NRW,109,5911000,1205,811,680,131,0,310,2,10,6,300,304,69,57,109,111,43,52,12,19,8,8,38,34,,1,,0,0,0,,1,,3,,1,,0,,0,,0,,1,20,15,,0,,0,,0,,1,,0,,0,,0,,0,0,0,1,0
09.05.2010,Landtagswahl NRW,109,5911000,1206,951,781,170,0,434,0,6,5,428,429,68,57,238,225,52,67,11,11,10,6,36,29,,2,,0,0,0,,0,,5,,0,,0,,1,,0,,0,12,18,,0,,0,,2,,4,,1,,1,,0,,0,1,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1207,843,720,123,0,246,0,5,5,241,241,51,45,107,101,29,34,4,8,4,1,31,29,,2,,1,0,0,,0,,1,,0,,0,,0,,0,,0,15,13,,0,,0,,1,,3,,0,,2,,0,,0,0,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1209,679,564,115,0,313,0,3,8,310,305,64,56,135,107,51,74,2,6,10,8,37,32,,0,,0,1,0,,1,,2,,2,,2,,0,,0,,0,10,7,,0,,0,,2,,6,,0,,0,,0,,0,0,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1210,764,657,107,0,293,1,8,7,285,286,59,55,138,111,36,57,5,7,2,2,27,33,,0,,0,1,1,,0,,2,,3,,0,,0,,0,,0,11,12,,0,,0,,2,,1,,0,,0,,0,,0,6,0,0,0
09.05.2010,Landtagswahl NRW,109,5911000,1211,954,816,138,0,379,0,15,11,364,368,60,50,180,150,49,75,5,5,8,5,46,53,,0,,0,3,0,,1,,1,,0,,3,,0,,0,,0,10,15,,0,,0,,2,,7,,0,,1,,0,,0,3,0,0,0
